show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,semantic_tags
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,,United States,"September 25, 2021",2020,PG-13,90 min,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",family-drama | johnson | kirsten-johnson | 2020s | recent | documentaries
s2,TV Show,Blood & Water,,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",khosi-ngema | molaba | ama-qamata | mabalane | greeff | arno-greeff | dillon-windvogel | thahane | xolile-tshabalala | gail-mabalane | 2020s | recent | international-tv-shows | tv-dramas | tv-mysteries
s3,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",family-drama | tracy-gotoas | nabiha-akkari | noureddine-farihi | gotoas | akkari | geert-van-rampelberg | rampelberg | jouy | lesaffre | salim-kechiouche | julien-leclercq | leclercq | mehdi | 2020s | recent | crime-tv-shows | international-tv-shows | tv-action-&-adventure
s4,TV Show,Jailbirds New Orleans,,,,"September 24, 2021",2021,TV-MA,1 Season,"Docuseries, Reality TV","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",documentary | the-orleans-justice-center | new-orleans | 2020s | recent | docuseries | reality-tv
s6,TV Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",,"September 24, 2021",2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",mystery | coming-of-age | zach-gilford | samantha-sloyan | henry-thomas | sloyan | thomas | gilford | rigney | linklater | lehman | rahul-kohli | flanagan | mike-flanagan | 2020s | recent | tv-dramas | tv-horror | tv-mysteries
s8,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",mzuri | ogunlano | kofi-ghanaba | carter | ghanaba | mutabaruka | alexandra-duah | oyafunmike-ogunlano | omilami | duah | haile-gerima | gerima | ghana | 1990s | classic | dramas | independent-movies | international-movies
s9,TV Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,"September 24, 2021",2021,TV-14,9 Seasons,"British TV Shows, Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",coming-of-age | paul-hollywood | hollywood | mel-giedroyc | mary-berry | berry | sue-perkins | perkins | giedroyc | devonshire | andy-devonshire | u.k. | 2020s | recent | british-tv-shows | reality-tv
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",,,,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",mystery | 2020s | recent | crime-tv-shows | docuseries | international-tv-shows
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",,"September 23, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",sahajak-boonthanakit | waratthaya-wongchayaporn | bhasaworn-bawronkirati | kanarot | mongkolpisit | boonthanakit | manaying | wongchayaporn | suthipongse-thatphithakkul | chullasapya | kongkiat-komesiri | komesiri | bangkok | 2020s | recent | crime-tv-shows | international-tv-shows | tv-action-&-adventure
s13,Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis NiewÃ¶hner, Milan Peschel, Edin HasanoviÄ, Anna FialovÃ¡, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, MÃ©lanie FouchÃ©, Elizaveta MaximovÃ¡","Germany, Czech Republic","September 23, 2021",2021,TV-MA,127 min,"Dramas, International Movies","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",family-drama | milan-peschel | anna-fialovã¡ | wedler | hasanoviä | niewã¶hner | geffrier | jannis-niewã¶hner | luna-wedler | fialovã¡ | victor-boccard | schwochow | christian-schwochow | 2020s | recent | dramas | international-movies
