show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,semantic_tags
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,,United States,"September 25, 2021",2020,PG-13,90 min,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",kirsten-johnson | johnson | documentaries | 2020s | recent | movie | family
s2,TV Show,Blood & Water,,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",ama-qamata | qamata | khosi-ngema | ngema | gail-mabalane | mabalane | thabang-molaba | molaba | dillon-windvogel | windvogel | natasha-thahane | thahane | international-tv-shows | tv-dramas | tv-mysteries | 2020s | recent | tv-show
s3,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",julien-leclercq | leclercq | sami-bouajila | bouajila | tracy-gotoas | gotoas | samuel-jouy | jouy | nabiha-akkari | akkari | sofia-lesaffre | lesaffre | salim-kechiouche | kechiouche | crime-tv-shows | international-tv-shows | tv-action-and-adventure | 2020s | recent | tv-show
s4,TV Show,Jailbirds New Orleans,,,,"September 24, 2021",2021,TV-MA,1 Season,"Docuseries, Reality TV","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",docuseries | reality-tv | 2020s | recent | tv-show
s6,TV Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",,"September 24, 2021",2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",mike-flanagan | flanagan | kate-siegel | siegel | zach-gilford | gilford | hamish-linklater | linklater | henry-thomas | thomas | kristin-lehman | lehman | samantha-sloyan | sloyan | tv-dramas | tv-horror | tv-mysteries | 2020s | recent | tv-show
s8,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",haile-gerima | gerima | kofi-ghanaba | ghanaba | oyafunmike-ogunlano | ogunlano | alexandra-duah | duah | nick-medley | medley | mutabaruka | afemo-omilami | omilami | dramas | independent-movies | international-movies | 1990s | classic | movie
s9,TV Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,"September 24, 2021",2021,TV-14,9 Seasons,"British TV Shows, Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",andy-devonshire | devonshire | mel-giedroyc | giedroyc | sue-perkins | perkins | mary-berry | berry | paul-hollywood | hollywood | british-tv-shows | reality-tv | 2020s | recent | tv-show
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",,,,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",crime-tv-shows | docuseries | international-tv-shows | 2020s | recent | tv-show | crime
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",,"September 23, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",kongkiat-komesiri | komesiri | sukollawat-kanarot | kanarot | sushar-manaying | manaying | pavarit-mongkolpisit | mongkolpisit | sahajak-boonthanakit | boonthanakit | suthipongse-thatphithakkul | thatphithakkul | bhasaworn-bawronkirati | bawronkirati | crime-tv-shows | international-tv-shows | tv-action-and-adventure | 2020s | recent | tv-show
s13,Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis NiewÃ¶hner, Milan Peschel, Edin HasanoviÄ, Anna FialovÃ¡, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, MÃ©lanie FouchÃ©, Elizaveta MaximovÃ¡","Germany, Czech Republic","September 23, 2021",2021,TV-MA,127 min,"Dramas, International Movies","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",christian-schwochow | schwochow | luna-wedler | wedler | jannis-niewã¶hner | niewã¶hner | milan-peschel | peschel | edin-hasanoviä | hasanoviä | anna-fialovã¡ | fialovã¡ | marlon-boess | boess | dramas | international-movies | 2020s | recent | movie | family
s15,TV Show,Crime Stories: India Detectives,,,,"September 22, 2021",2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,british-tv-shows | crime-tv-shows | docuseries | 2020s | recent | tv-show | crime
s16,TV Show,Dear White People,,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,"September 22, 2021",2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas","Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",logan-browning | browning | brandon-p.-bell | bell | deron-horton | horton | antoinette-robertson | robertson | john-patrick-amedori | amedori | ashley-blaine-featherson | featherson | tv-comedies | tv-dramas | 2020s | recent | tv-show
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave GarcÃ­a, Pablo AzorÃ­n Williams",,,"September 22, 2021",2020,TV-MA,67 min,"Documentaries, International Movies","Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",pedro-de-echave-garcã­a | garcã­a | pablo-azorã­n-williams | williams | documentaries | international-movies | 2020s | recent | movie
s18,TV Show,Falsa identidad,,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo YÃ¡Ã±ez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, GÃ©raldine BazÃ¡n, Gabriela Roel, Marcus Ornellas",Mexico,"September 22, 2021",2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,luis-ernesto-franco | franco | camila-sodi | sodi | sergio-goyri | goyri | samadhi-zendejas | zendejas | eduardo-yã¡ã±ez | yã¡ã±ez | sonya-smith | smith | crime-tv-shows | spanish-language-tv-shows | tv-dramas | 2020s | recent | tv-show
s20,TV Show,Jaguar,,"Blanca SuÃ¡rez, IvÃ¡n Marcos, Ãscar Casas, AdriÃ¡n Lastra, Francesc Garrido, Stefan Weinert, Julia MÃ¶ller, Alicia Chojnowski",,"September 22, 2021",2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",blanca-suã¡rez | suã¡rez | ivã¡n-marcos | marcos | ãscar-casas | casas | adriã¡n-lastra | lastra | francesc-garrido | garrido | stefan-weinert | weinert | international-tv-shows | spanish-language-tv-shows | tv-action-and-adventure | 2020s | recent | tv-show
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,,,"September 22, 2021",2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",olivier-megaton | megaton | crime-tv-shows | docuseries | international-tv-shows | 2020s | recent | tv-show | family
s22,TV Show,Resurrection: Ertugrul,,"Engin Altan DÃ¼zyatan, Serdar GÃ¶khan, HÃ¼lya Darcan, Kaan TaÅaner, Esra BilgiÃ§, Osman Soykut, Serdar Deniz, Cengiz CoÅkun, Reshad Strik, Hande SubaÅÄ±",Turkey,"September 22, 2021",2018,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas","When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",engin-altan-dã¼zyatan | dã¼zyatan | serdar-gã¶khan | gã¶khan | hã¼lya-darcan | darcan | kaan-taåaner | taåaner | esra-bilgiã§ | bilgiã§ | osman-soykut | soykut | international-tv-shows | tv-action-and-adventure | tv-dramas | 2010s | modern | tv-show | action
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",,"September 21, 2021",1996,TV-PG,161 min,"Comedies, International Movies","Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",k.s.-ravikumar | ravikumar | kamal-hassan | hassan | meena | gemini-ganesan | ganesan | heera-rajgopal | rajgopal | nassar | s.p.-balasubrahmanyam | balasubrahmanyam | comedies | international-movies | 1990s | classic | movie | family
s25,Movie,Jeans,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",India,"September 21, 2021",1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",s.-shankar | shankar | prashanth | aishwarya-rai-bachchan | bachchan | sri-lakshmi | lakshmi | nassar | comedies | international-movies | romantic-movies | 1990s | classic | movie | family | romance
s26,TV Show,Love on the Spectrum,,Brooke Satchwell,Australia,"September 21, 2021",2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV","Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",brooke-satchwell | satchwell | docuseries | international-tv-shows | reality-tv | 2020s | recent | tv-show | romance
s28,Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",United States,"September 20, 2021",2010,PG-13,103 min,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",dennis-dugan | dugan | adam-sandler | sandler | kevin-james | james | chris-rock | rock | david-spade | spade | rob-schneider | schneider | salma-hayek | hayek | comedies | 2010s | modern | movie | romance
s30,Movie,Paranoia,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","United States, India, France","September 19, 2021",2013,PG-13,106 min,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",robert-luketic | luketic | liam-hemsworth | hemsworth | gary-oldman | oldman | amber-heard | heard | harrison-ford | ford | lucas-till | till | embeth-davidtz | davidtz | thrillers | 2010s | modern | movie
